AVL,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral
RMFL,Avoidance,Avoidance,Avoidance,Avoidance,Sublateral,Sublateral,Lateral,Lateral,Lateral
RIML,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral
SAADL,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral
RMDL,Anterior,Sublateral,Sublateral,Anterior,Sublateral,Sublateral,Sublateral,Anterior,Anterior
RMGL,Anterior,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral
CEPDL,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Sublateral,Anterior,Sublateral
URBL,Anterior,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral
URXL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Avoidance,Avoidance,Sublateral
DVA,Sublateral,Sublateral,Avoidance,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral
SIADL,Sublateral,Lateral,Sublateral,Sublateral,Lateral,Sublateral,Sublateral,Sublateral,Sublateral
SMBVL,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral
SMBDL,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral
SIBVL,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral
SIAVL,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral
SIBDL,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral
RICL,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral
SDQL,Lateral,Avoidance,Avoidance,Avoidance,Sublateral,Avoidance,Sublateral,Lateral,Sublateral
ALNL,Avoidance,Avoidance,Avoidance,Sublateral,Lateral,Lateral,Sublateral,Lateral,Lateral
RMHL,Avoidance,Avoidance,Avoidance,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral,Sublateral
FLPL,Anterior,Lateral,Anterior,Avoidance,Lateral,Sublateral,Avoidance,Lateral,Avoidance
ADEL,Lateral,Lateral,Lateral,Lateral,Lateral,Anterior,Lateral,Lateral,Avoidance
AVAL,Lateral,Lateral,Lateral,Lateral,Lateral,Sublateral,Lateral,Lateral,Avoidance
RIR,Taxis,Taxis,Taxis,Taxis,Avoidance,Avoidance,Avoidance,Avoidance,Taxis
ADAL,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance
ASHL,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance
RIFL,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance
PVPL,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance
PVCL,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance
BDUL,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance
AVM,Avoidance,Avoidance,Avoidance,Avoidance,Lateral,Avoidance,Avoidance,Avoidance,Avoidance
AVJL,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance
AVHL,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance
AVDL,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance
AVBL,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance
ALML,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance
AQR,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance,Avoidance
BAGL,Anterior,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
RIBL,Anterior,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
ASIL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
AWCL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
AINL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
AUAL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
AFDL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
AIYL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
ADLL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
AWBL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
ASEL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
AWAL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
ADFL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
AIZL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
AIBL,Taxis,Lateral,Taxis,Taxis,Lateral,Taxis,Taxis,Taxis,Taxis
AIAL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
ASGL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
RID,Avoidance,Taxis,Sublateral,Taxis,Avoidance,Avoidance,Sublateral,Taxis,Taxis
ASKL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
AVFL,Avoidance,Avoidance,Avoidance,Sublateral,Taxis,Taxis,Taxis,Taxis,Taxis
PVQL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
ASJL,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
AIML,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
ALA,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis,Taxis
